District,Feature,Theta0,Theta1,MAE,RMSE
Юнусабадский,size,896.352703785953,767.969704555967,12267.618944601694,17329.979926589836
Юнусабадский,rooms,14903.954830339644,15801.361609375386,14435.009810681011,20288.745664077214
Юнусабадский,level,54386.52460425642,571.0198234948804,19210.417868758337,25725.12517473055
Юнусабадский,max_levels,41087.04549118801,2691.9051488470404,18431.90308584174,25047.269833523136
Яккасарайский,size,-378.5039163050169,855.2893016883925,14133.487450418488,19451.917492385648
Яккасарайский,rooms,8660.832812107692,21008.29249280152,19291.387051820147,27296.41935592281
Яккасарайский,level,57414.90179457918,1153.7844728513494,26529.18917932756,34981.33261134619
Яккасарайский,max_levels,54534.26845012199,1096.6457203849263,26334.740847952085,34562.05732902457
Чиланзарский,size,-1009.2734590636028,753.8444656913779,7796.767463621409,12812.549962713074
Чиланзарский,rooms,8725.137142925065,15633.445883764278,9633.738612687112,15789.351679953314
Чиланзарский,level,40150.41199079207,1620.5028962981364,15425.780375942686,22988.112485085505
Чиланзарский,max_levels,26278.31209318769,3559.55892660361,14298.17855317572,21807.545227180235
Учтепинский,size,3227.0701799225862,630.3181841250887,6280.337683537633,9768.964727601708
Учтепинский,rooms,11949.77524394539,12283.11528193881,7315.371875240594,10831.950813306554
Учтепинский,level,47163.803699307,-690.7585377444174,11206.822201933504,14901.280814804299
Учтепинский,max_levels,41152.93735849056,647.2625157232708,11033.737773944295,14669.00450439862
Мирзо-Улугбекский,size,-3732.1918069458916,827.5853162192979,13197.143479976281,19007.191720967796
Мирзо-Улугбекский,rooms,5365.097184214588,19074.372049771464,16379.851019160871,22750.87592014375
Мирзо-Улугбекский,level,49106.75673879888,1043.447399616434,21807.086863989676,29077.29716802476
Мирзо-Улугбекский,max_levels,36963.269249717734,2800.554412875061,20948.772793772467,28044.612080105668
Яшнободский,size,-4072.17509193936,768.3411545337011,10091.487487487846,13804.889045492691
Яшнободский,rooms,5264.785274400972,17146.5636526927,13174.82738076146,17475.761723392014
Яшнободский,level,40954.40875123482,1781.3406473356965,15856.840737657498,21538.856397012492
Яшнободский,max_levels,31511.39091840483,2565.342276426972,15035.060677189906,20860.512628414075
Мирабадский,size,10387.028997531772,824.4860636869336,16550.504636670757,21548.6315043917
Мирабадский,rooms,21763.74378101909,20898.065275030633,21705.825950315906,27518.50890001803
Мирабадский,level,79926.31149224512,594.4580767494274,27402.88287477955,33391.6488802452
Мирабадский,max_levels,57664.085834371326,3438.4619949156986,26750.113271143662,32266.58841291679
Шайхантахурский,size,2129.481643717343,759.3960888952427,12915.575894942747,18011.797846829293
Шайхантахурский,rooms,13305.835694050998,17065.249584839305,17518.804794427622,24213.916158840006
Шайхантахурский,level,69752.27138105678,-1867.530130773302,23916.64662536431,31980.92885236333
Шайхантахурский,max_levels,66133.93262343807,-592.3498010627461,24814.998264310558,32764.114882668717
Олмазорский,size,7002.733383431958,568.7601399412279,9370.215138152225,11842.744537845181
Олмазорский,rooms,13537.694203864077,13727.359493670892,13236.526650157759,17889.095438442175
Олмазорский,level,53231.316888274254,-662.9707871298439,19398.097402326926,23717.361775036643
Олмазорский,max_levels,45798.565036144355,898.7316507025165,20395.322832264083,24712.373111722154
Сергелийский,size,6168.5926505505995,498.87922117894476,11097.900982314552,14088.008565616612
Сергелийский,rooms,10287.58758529383,11907.948620022402,9386.58048331042,12778.648086242969
Сергелийский,level,47907.97438796248,-1244.8164223900085,16215.736742691886,22114.436956939808
Сергелийский,max_levels,38988.90128250644,460.5445881778643,15457.029655187718,22207.667381217878
Янгихаётский,size,35692.427185096,-6.743881534835114,11027.941430575389,15754.810509372535
Янгихаётский,rooms,22425.714285714283,4558.571428571429,11718.095238095237,15377.780640097777
Янгихаётский,level,33735.49783549783,428.3116883116884,10994.025974025979,15808.38629284188
Янгихаётский,max_levels,15572.549019607843,2928.75816993464,8322.875816993464,11874.600760500041
Бектемирский,size,17206.95797383802,221.54188700250484,6385.457834678542,6449.231390219677
Бектемирский,rooms,10683.33333333334,6949.999999999998,2699.999999999998,3011.2751082851546
Бектемирский,level,24464.615384615383,1325.3846153846152,6516.153846153844,6709.53053499274
Бектемирский,max_levels,25986.666666666664,853.3333333333334,7429.999999999998,7536.637918270393
